from_station_id,to_station_id,avg_duration,number_trips
76,35,1265.1542830099386,2113
76,76,2269.4226558781534,2101
90,90,2679.050974512744,2001
85,85,2941.0259039395573,1853
35,35,1959.4955357142858,1568
97,97,1964.3621241202816,1563
76,97,1422.5308560053086,1507
97,76,1308.162002945508,1358
35,90,1440.8105891126024,1341
35,76,1262.207401696222,1297
97,90,1461.6426877470356,1265
90,97,1631.56449044586,1256
177,35,1642.7029787234042,1175
90,35,1647.713888888889,1080
35,177,1637.7504892367906,1022
26,26,2844.1543824701193,1004
90,76,1911.7435367114788,967
177,177,2313.7158006362674,943
35,97,1668.1870967741936,930
97,35,1636.2604951560818,929
76,90,1516.138888888889,900
85,35,1423.4072398190044,884
34,34,2527.6286043829296,867
99,99,2827.4897713598075,831
35,85,1341.7960199004974,804
85,177,1364.340909090909,792
150,150,3609.6137229987294,787
76,26,1678.6527027027028,740
76,85,1727.5665294924554,729
91,52,573.5722460658083,699
177,85,1369.9756097560976,697
91,43,528.1372262773723,685
52,52,2439.0563165905633,657
52,91,604.1093990755007,649
85,76,1676.9331210191083,628
90,26,2054.001658374793,603
26,90,1708.2774086378738,602
25,25,3322.9093959731545,596
157,157,2493.868824531516,587
249,249,2208.797891036907,569
90,85,1947.3949730700178,557
49,174,369.6792792792793,555
45,45,3247.9621621621623,555
85,34,1772.230909090909,550
26,35,1239.5045871559632,545
26,76,1392.9925512104282,537
90,25,2063.797323135755,523
90,52,1619.8554913294797,519
62,62,3196.441634241245,514
34,85,1572.1984435797665,514
51,91,307.301775147929,507
59,59,3663.2405566600396,503
75,52,694.4541832669323,502
91,81,362.1955193482688,491
190,67,343.39714867617107,491
283,174,404.2956878850103,487
150,97,1570.9915789473685,475
91,47,678.217299578059,474
67,190,356.912017167382,466
45,90,1571.4400871459695,459
97,150,1429.5286343612336,454
195,91,604.3849557522124,452
52,90,1620.351230425056,447
115,153,369.7986577181208,447
35,199,1060.134090909091,440
43,43,2202.462414578588,439
45,97,1480.8881278538813,438
181,91,489.8263888888889,432
35,126,1978.6130536130536,429
24,24,2397.0543735224587,423
90,45,1846.6848341232228,422
150,76,1721.9026128266032,421
80,75,434.2158273381295,417
94,94,3545.770171149144,409
59,90,1413.610294117647,408
36,90,994.5380835380836,407
35,45,1840.5470297029703,404
153,115,399.9697732997481,397
34,35,1991.719387755102,392
76,177,1766.4923469387754,392
91,181,567.2404092071612,391
26,85,1664.3753213367609,389
53,91,523.4639175257732,388
25,35,1626.4093264248704,386
99,76,1412.7350649350649,385
13,220,296.7734375,384
75,37,408.9427083333333,384
97,45,1524.5785340314137,382
268,35,1432.208443271768,379
52,25,1390.2295514511873,379
77,49,482.9463806970509,373
126,35,1638.9565217391305,368
43,91,496.2896174863388,366
76,99,1576.581267217631,363
174,43,530.6022099447514,362
97,59,1215.1717451523546,361
45,35,1704.5373961218836,361
85,26,1552.5474860335196,358
25,90,1912.0336134453783,357
52,174,526.7264957264957,351
